Taxonomy / Feature	LDA score (log10)	Class	Mean (relative) abundance in that class	p-value
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Beijerinckiaceae.g__Microvirga	3.5836483965351844	Organic	3.106360641756882	0.027486336
d__Bacteria.p__Actinomycetota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Solirubrobacter	4.197568789	Organic	3.7797500657968035	0.014305878435429647
d__Bacteria.p__Methylomirabilota.c__Methylomirabilia.o__Rokubacteriales.f__Incertae_Sedis.g__Incertae_Sedis	4.144315686758991	Organic	3.6938100214752514	0.014305878435429647
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Beijerinckiaceae.g__Methylobacterium	3.071405866061014			-
d__Bacteria.p__Cyanobacteriota.c__Cyanobacteriia.o__Cyanobacteriales.f__Coleofasciculaceae.g__Microcoleus_Es_Yyy1400	3.134331415427746			-
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__WWH38.g__Incertae_Sedis	3.188837682862793			-
d__Bacteria.p__Actinomycetota.c__Thermoleophilia.o__Solirubrobacterales.f__67_14.g__Incertae_Sedis	4.315909182731119	Organic	3.918704316373208	0.014305878435429647
d__Bacteria.p__Cyanobacteriota.c__Vampirivibrionia.o__Vampirovibrionales.f__Vampirovibrionaceae.g__Vampirovibrio	2.2412259970006727			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Alicyclobacillales.f__Alicyclobacillaceae.g__Tumebacillus	3.988001377851043			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__KF_JG30_C25.f__Incertae_Sedis.g__Incertae_Sedis	3.8398172600706966	Chemical	3.4751942404760654	0.013902988164384317
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.__	3.8960145991404507			-
d__Bacteria.p__Bdellovibrionota.c__Bdellovibrionia.o__Bdellovibrionales.f__Pseudobdellovibrionaceae.g__Incertae_Sedis	3.102922957498435			-
d__Bacteria.p__Actinomycetota.c__Thermoleophilia.o__Gaiellales.f__Incertae_Sedis.g__Incertae_Sedis	4.778105381049466			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Luedemannella	3.2657860269000825	Organic	2.907547606851136	0.012725353282910894
d__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Clostridiaceae.__	2.0127465692703335			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Comamonadaceae.__	3.788216766659327	Organic	3.340882248668769	0.014305878435429647
d__Bacteria.p__Chloroflexota.c__Chloroflexia.o__Chloroflexales.f__Chloroflexaceae.g__Chloronema	2.144316176876444			-
d__Bacteria.p__Sumerlaeota.c__Sumerlaeia.o__Sumerlaeales.f__Sumerlaeaceae.g__Sumerlaea	2.5615607923980046			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Frankiales.f__Acidothermaceae.g__Acidothermus	5.049252425556153	Chemical	4.509766247748285	0.014305878435429647
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Incertae_Sedis.g__Incertae_Sedis	2.6546779605358273			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Acetobacterales.f__Acetobacteraceae.g__Acidisphaera	2.442871163999864			-
d__Bacteria.p__Chloroflexota.c__OLB14.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	2.8333014178037845			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Paenibacillales.f__Paenibacillaceae.g__Paenibacillus	3.8432856945528524			-
